Round0, ROCAUC0.69592476489, LOGLOSS0.553971990198, F1 SCORE0.420289855072,
Round1, ROCAUC0.55291005291, LOGLOSS0.604652647659, F1 SCORE0.50243902439,
Round2, ROCAUC0.625, LOGLOSS0.780025908639, F1 SCORE0.614260666277,
Round3, ROCAUC0.748456790123, LOGLOSS0.905375586752, F1 SCORE0.554677754678,
Round4, ROCAUC0.54693877551, LOGLOSS0.626192437751, F1 SCORE0.565967365967,
Round5, ROCAUC0.487103174603, LOGLOSS1.38666366884, F1 SCORE0.239417989418,
Round6, ROCAUC0.767287234043, LOGLOSS0.509947775982, F1 SCORE0.634308510638,
Round7, ROCAUC0.65243902439, LOGLOSS0.606508039414, F1 SCORE0.580357142857,
Round8, ROCAUC0.754285714286, LOGLOSS0.527729850345, F1 SCORE0.492481203008,
Round9, ROCAUC0.630344827586, LOGLOSS0.877293210278, F1 SCORE0.511513157895,
Round10, ROCAUC0.748148148148, LOGLOSS0.556740092257, F1 SCORE0.711111111111,
Round11, ROCAUC0.647058823529, LOGLOSS0.697031267847, F1 SCORE0.41384863124,
Round12, ROCAUC0.628246753247, LOGLOSS0.777203177214, F1 SCORE0.333333333333,
Round13, ROCAUC0.761111111111, LOGLOSS0.500518941758, F1 SCORE0.583333333333,
Round14, ROCAUC0.714754098361, LOGLOSS0.505989833915, F1 SCORE0.64094488189,
Round15, ROCAUC0.558441558442, LOGLOSS0.832811393293, F1 SCORE0.347665279704,
Round16, ROCAUC0.742240215924, LOGLOSS0.532649344791, F1 SCORE0.586828207518,
Round17, ROCAUC0.759287925697, LOGLOSS0.597628573764, F1 SCORE0.686655405405,
Round18, ROCAUC0.703125, LOGLOSS0.757097082698, F1 SCORE0.622705932565,
Round19, ROCAUC0.782857142857, LOGLOSS0.569247966011, F1 SCORE0.576441102757,
Round20, ROCAUC0.720538720539, LOGLOSS0.592784006806, F1 SCORE0.686820973075,
Round21, ROCAUC0.685746352413, LOGLOSS0.65680685391, F1 SCORE0.495798319328,
Round22, ROCAUC0.632754342432, LOGLOSS0.662780980792, F1 SCORE0.562659846547,
Round23, ROCAUC0.597981497056, LOGLOSS0.839447282787, F1 SCORE0.471111111111,
