Round0, ROCAUC0.601880877743, LOGLOSS0.628662814992, F1 SCORE0.466666666667,
Round1, ROCAUC0.619047619048, LOGLOSS0.598853267875, F1 SCORE0.594318181818,
Round2, ROCAUC0.704241071429, LOGLOSS0.630901104347, F1 SCORE0.636363636364,
Round3, ROCAUC0.697530864198, LOGLOSS0.92564265272, F1 SCORE0.597089397089,
Round4, ROCAUC0.585714285714, LOGLOSS0.655231384598, F1 SCORE0.448198198198,
Round5, ROCAUC0.559027777778, LOGLOSS0.853966662417, F1 SCORE0.278636363636,
Round6, ROCAUC0.573138297872, LOGLOSS0.702058930831, F1 SCORE0.483462637811,
Round7, ROCAUC0.451219512195, LOGLOSS0.594737925428, F1 SCORE0.459770114943,
Round8, ROCAUC0.651428571429, LOGLOSS0.563410780993, F1 SCORE0.415584415584,
Round9, ROCAUC0.667586206897, LOGLOSS1.41416918501, F1 SCORE0.349397590361,
Round10, ROCAUC0.633333333333, LOGLOSS0.712757592424, F1 SCORE0.528225806452,
Round11, ROCAUC0.745098039216, LOGLOSS0.423489107657, F1 SCORE0.446808510638,
Round12, ROCAUC0.719155844156, LOGLOSS1.12532831248, F1 SCORE0.305555555556,
Round13, ROCAUC0.638888888889, LOGLOSS0.554062334859, F1 SCORE0.478723404255,
Round14, ROCAUC0.712568306011, LOGLOSS0.462908090092, F1 SCORE0.539393939394,
Round15, ROCAUC0.614285714286, LOGLOSS0.85641126209, F1 SCORE0.414806110458,
Round16, ROCAUC0.5330634278, LOGLOSS0.647423186898, F1 SCORE0.513888888889,
Round17, ROCAUC0.618421052632, LOGLOSS0.640877241796, F1 SCORE0.637424547284,
Round18, ROCAUC0.6359375, LOGLOSS0.933345420949, F1 SCORE0.484684684685,
Round19, ROCAUC0.66, LOGLOSS0.635593554148, F1 SCORE0.638888888889,
Round20, ROCAUC0.574074074074, LOGLOSS0.670708221548, F1 SCORE0.588709677419,
Round21, ROCAUC0.671156004489, LOGLOSS0.758351838278, F1 SCORE0.55,
Round22, ROCAUC0.657568238213, LOGLOSS0.902691361972, F1 SCORE0.512820512821,
Round23, ROCAUC0.582001682086, LOGLOSS1.07694072793, F1 SCORE0.520647437228,
Round24, ROCAUC0.606648199446, LOGLOSS0.74056038182, F1 SCORE0.559420289855,
Round25, ROCAUC0.659722222222, LOGLOSS1.87173175677, F1 SCORE0.364386792453,
Round26, ROCAUC0.631578947368, LOGLOSS1.23399465206, F1 SCORE0.327272727273,
Round27, ROCAUC0.570338983051, LOGLOSS0.576102090976, F1 SCORE0.596090225564,
Round28, ROCAUC0.610795454545, LOGLOSS0.576661581217, F1 SCORE0.426666666667,
Round29, ROCAUC0.495652173913, LOGLOSS0.940121623495, F1 SCORE0.285714285714,
Round30, ROCAUC0.821428571429, LOGLOSS0.447381098083, F1 SCORE0.63661971831,
Round31, ROCAUC0.567653276956, LOGLOSS0.676927657504, F1 SCORE0.532307692308,
Round32, ROCAUC0.634353741497, LOGLOSS0.594146173381, F1 SCORE0.524617996604,
Round33, ROCAUC0.814814814815, LOGLOSS0.379619883341, F1 SCORE0.467289719626,
Round34, ROCAUC0.714743589744, LOGLOSS0.482057650131, F1 SCORE0.705314009662,
Round35, ROCAUC0.698717948718, LOGLOSS0.655401434086, F1 SCORE0.578846153846,
Round36, ROCAUC0.651851851852, LOGLOSS0.721240382713, F1 SCORE0.520737327189,
Round37, ROCAUC0.682666666667, LOGLOSS0.560603794241, F1 SCORE0.527272727273,
Round38, ROCAUC0.597505668934, LOGLOSS0.644545276698, F1 SCORE0.392,
Round39, ROCAUC0.672619047619, LOGLOSS0.706294953018, F1 SCORE0.574712643678,
Round40, ROCAUC0.598214285714, LOGLOSS0.621186433847, F1 SCORE0.519230769231,
Round41, ROCAUC0.674712643678, LOGLOSS0.537772326539, F1 SCORE0.646489104116,
Round42, ROCAUC0.598440545809, LOGLOSS0.720700161904, F1 SCORE0.451733833177,
Round43, ROCAUC0.51875, LOGLOSS0.797384893014, F1 SCORE0.371428571429,
Round44, ROCAUC0.680555555556, LOGLOSS0.556294513941, F1 SCORE0.532224532225,
Round45, ROCAUC0.758928571429, LOGLOSS0.529014417281, F1 SCORE0.749751737835,
Round46, ROCAUC0.777777777778, LOGLOSS0.69817767106, F1 SCORE0.496428571429,
TOTAL All round, ROCAUC[0.60188088 0.61904762 0.70424107 0.69753086 0.58571429 0.55902778
 0.5731383  0.45121951 0.65142857 0.66758621 0.63333333 0.74509804
 0.71915584 0.63888889 0.71256831 0.61428571 0.53306343 0.61842105
 0.6359375  0.66       0.57407407 0.671156   0.65756824 0.58200168
 0.6066482  0.65972222 0.63157895 0.57033898 0.61079545 0.49565217
 0.82142857 0.56765328 0.63435374 0.81481481 0.71474359 0.69871795
 0.65185185 0.68266667 0.59750567 0.67261905 0.59821429 0.67471264
 0.59844055 0.51875    0.68055556 0.75892857 0.77777778], LOGLOSS[0.62866281 0.59885327 0.6309011  0.92564265 0.65523138 0.85396666
 0.70205893 0.59473793 0.56341078 1.41416919 0.71275759 0.42348911
 1.12532831 0.55406233 0.46290809 0.85641126 0.64742319 0.64087724
 0.93334542 0.63559355 0.67070822 0.75835184 0.90269136 1.07694073
 0.74056038 1.87173176 1.23399465 0.57610209 0.57666158 0.94012162
 0.4473811  0.67692766 0.59414617 0.37961988 0.48205765 0.65540143
 0.72124038 0.56060379 0.64454528 0.70629495 0.62118643 0.53777233
 0.72070016 0.79738489 0.55629451 0.52901442 0.69817767], F1 SCORE[0.46666667 0.59431818 0.63636364 0.5970894  0.4481982  0.27863636
 0.48346264 0.45977011 0.41558442 0.34939759 0.52822581 0.44680851
 0.30555556 0.4787234  0.53939394 0.41480611 0.51388889 0.63742455
 0.48468468 0.63888889 0.58870968 0.55       0.51282051 0.52064744
 0.55942029 0.36438679 0.32727273 0.59609023 0.42666667 0.28571429
 0.63661972 0.53230769 0.524618   0.46728972 0.70531401 0.57884615
 0.52073733 0.52727273 0.392      0.57471264 0.51923077 0.6464891
 0.45173383 0.37142857 0.53222453 0.74975174 0.49642857],
Mean Auc 0.641379526132,  Mean logloss 0.728434973818, Mean F1 0.503757899189,
