Round0, ROCAUC0.702194357367, LOGLOSS0.697081869305, F1 SCORE0.393939393939,
Round1, ROCAUC0.539682539683, LOGLOSS0.739411995399, F1 SCORE0.499786780384,
Round2, ROCAUC0.592633928571, LOGLOSS0.661233981225, F1 SCORE0.614260666277,
Round3, ROCAUC0.820987654321, LOGLOSS0.668006775864, F1 SCORE0.580592105263,
Round4, ROCAUC0.495918367347, LOGLOSS0.69051275083, F1 SCORE0.424242424242,
Round5, ROCAUC0.510912698413, LOGLOSS0.79033525828, F1 SCORE0.289594742607,
Round6, ROCAUC0.768617021277, LOGLOSS0.595785901221, F1 SCORE0.617442482611,
Round7, ROCAUC0.544715447154, LOGLOSS0.757019075942, F1 SCORE0.364568764569,
Round8, ROCAUC0.852857142857, LOGLOSS0.495411557621, F1 SCORE0.577067669173,
Round9, ROCAUC0.577931034483, LOGLOSS0.743398878171, F1 SCORE0.578595317726,
Round10, ROCAUC0.759259259259, LOGLOSS0.503734598748, F1 SCORE0.60685483871,
Round11, ROCAUC1.0, LOGLOSS0.740929409862, F1 SCORE0.344144144144,
Round12, ROCAUC0.771915584416, LOGLOSS0.733977155089, F1 SCORE0.34434191355,
Round13, ROCAUC0.688888888889, LOGLOSS0.476297543631, F1 SCORE0.600904977376,
Round14, ROCAUC0.750819672131, LOGLOSS0.636723901488, F1 SCORE0.573717948718,
Round15, ROCAUC0.69025974026, LOGLOSS0.944826629776, F1 SCORE0.295283018868,
Round16, ROCAUC0.764507422402, LOGLOSS0.564093344978, F1 SCORE0.717303510407,
Round17, ROCAUC0.635448916409, LOGLOSS0.668706979392, F1 SCORE0.633151183971,
Round18, ROCAUC0.82578125, LOGLOSS0.561381270249, F1 SCORE0.589743589744,
Round19, ROCAUC0.7, LOGLOSS0.630568004571, F1 SCORE0.735094339623,
Round20, ROCAUC0.671717171717, LOGLOSS0.653193826185, F1 SCORE0.622222222222,
Round21, ROCAUC0.540965207632, LOGLOSS1.09553338838, F1 SCORE0.462797159617,
Round22, ROCAUC0.681141439206, LOGLOSS1.02660448626, F1 SCORE0.538970588235,
Round23, ROCAUC0.650126156434, LOGLOSS0.869584089744, F1 SCORE0.511731135067,
Round24, ROCAUC0.765927977839, LOGLOSS0.634056624613, F1 SCORE0.651867512333,
Round25, ROCAUC0.646527777778, LOGLOSS0.943442448441, F1 SCORE0.537656544862,
Round26, ROCAUC0.666666666667, LOGLOSS0.665290150288, F1 SCORE0.583645911478,
Round27, ROCAUC0.532203389831, LOGLOSS0.845711086747, F1 SCORE0.416880616175,
Round28, ROCAUC0.551136363636, LOGLOSS0.677040672579, F1 SCORE0.558974358974,
Round29, ROCAUC0.529347826087, LOGLOSS1.30723967291, F1 SCORE0.267441860465,
