Round0, ROCAUC0.539184952978, LOGLOSS0.644968469441, F1 MACRO0.481311975591, F1 POS0.260869565217, ACCURACY0.575, PRECISION0.482142857143, RECALL0.481191222571
Round1, ROCAUC0.294973544974, LOGLOSS0.674805290559, F1 MACRO0.400641025641, F1 POS0.0833333333333, ACCURACY0.56862745098, PRECISION0.422222222222, RECALL0.388888888889
Round2, ROCAUC0.377232142857, LOGLOSS0.701188082722, F1 MACRO0.323076923077, F1 POS0.0, ACCURACY0.477272727273, PRECISION0.283783783784, RECALL0.375
Round3, ROCAUC0.680555555556, LOGLOSS0.679693991647, F1 MACRO0.514705882353, F1 POS0.352941176471, ACCURACY0.56862745098, PRECISION0.689935064935, RECALL0.590277777778
Round4, ROCAUC0.534693877551, LOGLOSS0.691957013948, F1 MACRO0.552803129074, F1 POS0.461538461538, ACCURACY0.571428571429, PRECISION0.575833333333, RECALL0.592857142857
Round5, ROCAUC0.609126984127, LOGLOSS0.690726543682, F1 MACRO0.592272727273, F1 POS0.704545454545, ACCURACY0.623188405797, PRECISION0.594396551724, RECALL0.608630952381
Round6, ROCAUC0.316489361702, LOGLOSS0.691488370028, F1 MACRO0.377177700348, F1 POS0.0714285714286, ACCURACY0.527272727273, PRECISION0.425, RECALL0.360372340426
Round7, ROCAUC0.733739837398, LOGLOSS0.666021813738, F1 MACRO0.548076923077, F1 POS0.25, ACCURACY0.744680851064, PRECISION0.545945945946, RECALL0.569105691057
Round8, ROCAUC0.711428571429, LOGLOSS0.582823418246, F1 MACRO0.633061527057, F1 POS0.421052631579, ACCURACY0.755555555556, PRECISION0.638888888889, RECALL0.628571428571
Round9, ROCAUC0.466206896552, LOGLOSS0.711808186438, F1 MACRO0.441971383148, F1 POS0.235294117647, ACCURACY0.518518518519, PRECISION0.488888888889, RECALL0.493793103448
Round10, ROCAUC0.707407407407, LOGLOSS0.663692854918, F1 MACRO0.390625, F1 POS0.0, ACCURACY0.641025641026, PRECISION0.367647058824, RECALL0.416666666667
Round11, ROCAUC0.235294117647, LOGLOSS0.524463304533, F1 MACRO0.458333333333, F1 POS0.0, ACCURACY0.846153846154, PRECISION0.488888888889, RECALL0.43137254902
Round12, ROCAUC0.487012987013, LOGLOSS0.759883688688, F1 MACRO0.376114081996, F1 POS0.176470588235, ACCURACY0.44, PRECISION0.465909090909, RECALL0.48538961039
Round13, ROCAUC0.394444444444, LOGLOSS0.69770931042, F1 MACRO0.4, F1 POS0.142857142857, ACCURACY0.510204081633, PRECISION0.501666666667, RECALL0.505555555556
Round14, ROCAUC0.64043715847, LOGLOSS0.544709832653, F1 MACRO0.574825174825, F1 POS0.272727272727, ACCURACY0.789473684211, PRECISION0.627329192547, RECALL0.567213114754
Round15, ROCAUC0.478571428571, LOGLOSS0.733628612326, F1 MACRO0.428424908425, F1 POS0.483516483516, ACCURACY0.433734939759, PRECISION0.454491725768, RECALL0.45
Round16, ROCAUC0.535762483131, LOGLOSS0.695387779389, F1 MACRO0.471516815374, F1 POS0.297872340426, ACCURACY0.528571428571, PRECISION0.519607843137, RECALL0.532388663968
