Round0, ROCAUC0.708463949843, LOGLOSS0.551879990008, F1 SCORE0.494833524684,
Round1, ROCAUC0.634920634921, LOGLOSS0.58861612923, F1 SCORE0.450221940393,
Round2, ROCAUC0.579241071429, LOGLOSS0.664654738524, F1 SCORE0.544827586207,
Round3, ROCAUC0.779320987654, LOGLOSS0.690954623205, F1 SCORE0.564102564103,
Round4, ROCAUC0.575510204082, LOGLOSS0.651981558727, F1 SCORE0.50457390467,
Round5, ROCAUC0.552579365079, LOGLOSS1.28320975912, F1 SCORE0.31982475356,
Round6, ROCAUC0.773936170213, LOGLOSS0.401514146748, F1 SCORE0.607454401269,
Round7, ROCAUC0.44512195122, LOGLOSS0.680854979982, F1 SCORE0.406565656566,
Round8, ROCAUC0.68, LOGLOSS0.553151189619, F1 SCORE0.430379746835,
Round9, ROCAUC0.592413793103, LOGLOSS0.682180830726, F1 SCORE0.541818181818,
Round10, ROCAUC0.688888888889, LOGLOSS0.66737286097, F1 SCORE0.43587270974,
Round11, ROCAUC0.686274509804, LOGLOSS0.615617118489, F1 SCORE0.409090909091,
Round12, ROCAUC0.637987012987, LOGLOSS1.68752591063, F1 SCORE0.356617647059,
Round13, ROCAUC0.505555555556, LOGLOSS0.603320765708, F1 SCORE0.40243902439,
Round14, ROCAUC0.67868852459, LOGLOSS0.619791198718, F1 SCORE0.578947368421,
Round15, ROCAUC0.558441558442, LOGLOSS1.68355659741, F1 SCORE0.303183906225,
Round16, ROCAUC0.706477732794, LOGLOSS0.593426279511, F1 SCORE0.647824800237,
Round17, ROCAUC0.804179566563, LOGLOSS0.552270993872, F1 SCORE0.643269230769,
Round18, ROCAUC0.7140625, LOGLOSS0.812511542624, F1 SCORE0.578378378378,
Round19, ROCAUC0.7, LOGLOSS0.630763497108, F1 SCORE0.735094339623,
Round20, ROCAUC0.728956228956, LOGLOSS0.599579009355, F1 SCORE0.638663967611,
Round21, ROCAUC0.616161616162, LOGLOSS0.836216726651, F1 SCORE0.412830735774,
Round22, ROCAUC0.68982630273, LOGLOSS0.63235606593, F1 SCORE0.600066822586,
Round23, ROCAUC0.5, LOGLOSS0.878096388706, F1 SCORE0.319727891156,
Round24, ROCAUC0.734072022161, LOGLOSS0.653253091793, F1 SCORE0.532307692308,
Round25, ROCAUC0.524652777778, LOGLOSS0.726281394432, F1 SCORE0.429010671007,
Round26, ROCAUC0.656432748538, LOGLOSS0.667986541181, F1 SCORE0.589800443459,
Round27, ROCAUC0.523305084746, LOGLOSS0.726472699944, F1 SCORE0.442840741348,
Round28, ROCAUC0.603693181818, LOGLOSS0.728932365429, F1 SCORE0.575657894737,
Round29, ROCAUC0.422826086957, LOGLOSS0.784306491178, F1 SCORE0.377858627859,
Round30, ROCAUC0.553571428571, LOGLOSS0.670514327149, F1 SCORE0.503846153846,
Round31, ROCAUC0.701902748414, LOGLOSS0.650244864954, F1 SCORE0.610256410256,
Round32, ROCAUC0.557823129252, LOGLOSS0.624214958133, F1 SCORE0.499105545617,
Round33, ROCAUC0.561728395062, LOGLOSS0.298107536608, F1 SCORE0.472222222222,
Round34, ROCAUC0.657051282051, LOGLOSS0.542793991563, F1 SCORE0.585034013605,
Round35, ROCAUC0.647893772894, LOGLOSS0.664919467822, F1 SCORE0.573099415205,
Round36, ROCAUC0.499259259259, LOGLOSS0.784718007136, F1 SCORE0.379584622183,
Round37, ROCAUC0.633333333333, LOGLOSS0.56236803374, F1 SCORE0.617003367003,
Round38, ROCAUC0.60015117158, LOGLOSS0.784133011978, F1 SCORE0.563218390805,
